labels,url
9202|ANAHoldings,https://www.ana.co.jp/group/
9201|JapanAirlines,https://www.jal.com/
543A|Archion,https://www.archion.co.jp/
7267|Honda,https://global.honda/
7202|Isuzu,https://www.isuzu.co.jp/
7261|Mazda,https://www.mazda.com/
7211|MitsubishiMotors,https://www.mitsubishi-motors.com/
7201|Nissan,https://www.nissan-global.com/
7270|Subaru,https://www.subaru.co.jp/
7269|Suzuki,https://www.globalsuzuki.com/
7203|Toyota,https://global.toyota/
7272|YamahaMotor,https://global.yamaha-motor.com/
8304|AozoraBank,https://www.aozorabank.co.jp/
8331|ChibaBank,https://www.chibabank.co.jp/
8354|FukuokaFG,https://www.fukuoka-fg.com/
8306|MUFG,https://www.mufg.jp/
8411|MizuhoFG,https://www.mizuho-fg.com/
8308|Resona,https://www.resona-gr.co.jp/
5831|ShizuokaFG,https://www.szfg.co.jp/
8316|SMFG,https://www.smfg.co.jp/
8309|SMTH,https://www.smth.jp/
7186|ConcordiaFG,https://www.concordia-fg.jp/
3407|AsahiKasei,https://www.asahi-kasei.com/
4061|Denka,https://www.denka.co.jp/
4901|Fujifilm,https://www.fujifilm.com/
4452|Kao,https://www.kao.com/
3405|Kuraray,https://www.kuraray.com/
4188|MitsubishiChemical,https://www.mcgc.com/
4183|MitsuiChemicals,https://jp.mitsuichemicals.com/
4021|NissanChemical,https://www.nissanchem.co.jp/
6988|NittoDenko,https://www.nitto.com/
4004|Resonac,https://www.resonac.com/
4063|ShinEtsuChemical,https://www.shinetsu.co.jp/
4911|Shiseido,https://corp.shiseido.com/
4005|SumitomoChemical,https://www.sumitomo-chem.co.jp/
4043|Tokuyama,https://www.tokuyama.co.jp/
4042|Tosoh,https://www.tosoh.com/
4208|UbeIndustries,https://www.ube.com/
9433|KDDI,https://www.kddi.com/
9432|NTT,https://group.ntt/
9434|SoftBankCorp,https://www.softbank.jp/
9984|SoftBankGroup,https://group.softbank/
1721|ComsysHoldings,https://www.comsys-hd.co.jp/
1925|DaiwaHouse,https://www.daiwahouse.com/
1808|Haseko,https://www.haseko.co.jp/
1963|JGC,https://www.jgc.com/
1812|Kajima,https://www.kajima.co.jp/
1802|Obayashi,https://www.obayashi.co.jp/
1928|SekisuiHouse,https://www.sekisuihouse.co.jp/
1803|Shimizu,https://www.shimz.co.jp/
1801|Taisei,https://www.taisei.co.jp/
6857|Advantest,https://www.advantest.com/
6770|AlpsAlpine,https://www.alpsalpine.com/
7751|Canon,https://global.canon/
6902|Denso,https://www.denso.com/
6954|FANUC,https://www.fanuc.co.jp/
6504|FujiElectric,https://www.fujielectric.com/
6702|Fujitsu,https://www.fujitsu.com/
6501|Hitachi,https://www.hitachi.com/
6861|Keyence,https://www.keyence.com/
285A|Kioxia,https://www.kioxia.com/
6971|Kyocera,https://global.kyocera.com/
6920|Lasertec,https://www.lasertec.co.jp/
6479|MinebeaMitsumi,https://www.minebeamitsumi.com/
6503|MitsubishiElectric,https://www.mitsubishielectric.com/
6981|Murata,https://www.murata.com/
6701|NEC,https://www.nec.com/
6594|Nidec,https://www.nidec.com/
6645|Omron,https://www.omron.com/
6752|Panasonic,https://holdings.panasonic/
6723|Renesas,https://www.renesas.com/
7752|Ricoh,https://www.ricoh.com/
6963|Rohm,https://www.rohm.com/
7735|SCREEN,https://www.screen.co.jp/
6724|SeikoEpson,https://global.epson.com/
6753|Sharp,https://global.sharp/
6758|Sony,https://www.sony.com/
6526|Socionext,https://www.socionext.com/
6976|TaiyoYuden,https://www.yuden.co.jp/
6762|TDK,https://www.tdk.com/
8035|TokyoElectron,https://www.tel.com/
6506|Yaskawa,https://www.yaskawa-global.com/
6841|Yokogawa,https://www.yokogawa.com/
